id,bounding_box
car:0.9922,[655 396 105  73]
car:0.9873,[333 474  89  81]
car:0.9863,[696 554 127  94]
car:0.9841,[504 519 115 101]
car:0.9338,[609 329  54  29]
car:0.9313,[454 402  79  66]
car:0.8844,[510 379  57  38]
car:0.8724,[322 390  59  44]
car:0.8339,[1002  416   93   43]
car:0.7802,[1177  373   97   51]
car:0.7350,[881 361  91  30]
car:0.6338,[542 301  57  17]
car:0.9906,[505 522 113  99]
car:0.9891,[332 475  90  83]
car:0.9887,[697 558 131  94]
car:0.9809,[656 398 106  72]
car:0.9687,[1168  372  105   49]
car:0.9577,[454 404  78  65]
car:0.9178,[606 329  55  29]
car:0.8539,[324 391  58  40]
car:0.8069,[397 361  55  42]
car:0.7868,[995 413  93  44]
car:0.7841,[512 379  61  42]
car:0.7512,[882 360  84  30]
car:0.6647,[537 303  47  15]
car:0.5923,[807 359  87  34]
car:0.9925,[507 525 112  95]
car:0.9860,[699 566 135  99]
car:0.9846,[331 476  92  85]
car:0.9731,[325 394  62  52]
car:0.9701,[661 400 101  72]
car:0.9586,[456 409  81  74]
car:0.9249,[599 328  57  30]
car:0.9137,[1156  370  112   50]
car:0.8791,[513 385  65  43]
car:0.8249,[995 414  91  41]
car:0.8159,[532 303  49  15]
car:0.7373,[881 354  78  32]
car:0.5111,[805 360  84  33]
car:0.9895,[706 572 134 100]
car:0.9805,[504 535 119 106]
car:0.9791,[332 477  91  85]
car:0.9717,[666 402 101  71]
car:0.9584,[326 395  60  50]
car:0.9577,[513 386  66  43]
car:0.9393,[456 410  81  74]
car:0.9342,[984 410  88  43]
car:0.9209,[1153  367   99   55]
car:0.9128,[880 353  74  32]
car:0.8957,[599 329  49  23]
car:0.8345,[532 302  46  15]
car:0.7141,[400 362  54  44]
car:0.5406,[805 359  84  33]
car:0.9942,[709 574 137 100]
car:0.9881,[505 539 119 104]
car:0.9849,[328 489  96  85]
car:0.9736,[671 405 102  69]
car:0.9696,[327 396  60  52]
car:0.9508,[1144  369  101   49]
car:0.9469,[517 387  64  43]
car:0.9375,[459 410  82  76]
car:0.8671,[598 329  44  21]
car:0.8382,[982 412  84  38]
car:0.7491,[877 353  73  30]
car:0.5658,[532 302  40  14]
car:0.5444,[363 338  50  35]
car:0.5156,[795 351  74  38]
car:0.9944,[704 578 142 102]
car:0.9906,[322 492 103  82]
car:0.9866,[506 542 119 105]
car:0.9733,[329 397  58  53]
car:0.9616,[520 387  63  44]
car:0.9589,[458 411  88  78]
car:0.9256,[1136  369  101   45]
car:0.9102,[677 405  94  70]
car:0.8853,[972 406  89  40]
car:0.8817,[863 352  77  31]
car:0.8607,[403 362  55  46]
car:0.7267,[599 329  40  21]
car:0.6893,[793 350  73  39]
car:0.6461,[525 300  45  16]
car:0.6181,[363 337  51  37]
car:0.9948,[707 584 148 116]
car:0.9888,[323 493 101  89]
car:0.9831,[505 543 121 108]
car:0.9669,[524 389  61  43]
car:0.9648,[329 399  60  50]
car:0.9170,[462 415  84  76]
car:0.9122,[1131  368   91   46]
car:0.8706,[972 407  84  38]
car:0.8702,[855 352  78  30]
car:0.8446,[586 328  50  21]
car:0.8234,[687 411  89  70]
car:0.7415,[405 368  52  42]
car:0.6151,[361 338  52  36]
car:0.5904,[789 349  76  40]
car:0.5455,[522 300  48  16]
car:0.9934,[709 592 149 110]
car:0.9907,[320 495 104  88]
car:0.9871,[526 391  61  42]
car:0.9813,[505 545 122 106]
car:0.9779,[330 400  61  51]
car:0.9738,[461 415  90  76]
car:0.9701,[958 403  89  40]
car:0.9493,[583 328  49  21]
car:0.9401,[1123  369   94   44]
car:0.9299,[687 411  90  71]
car:0.7902,[784 348  80  40]
car:0.7830,[855 350  74  30]
car:0.7709,[409 369  54  42]
car:0.6026,[520 299  48  16]
car:0.9929,[722 598 147 107]
car:0.9880,[319 497 103  88]
car:0.9871,[506 548 124 106]
car:0.9833,[526 392  62  42]
car:0.9711,[331 401  61  50]
car:0.9541,[579 327  47  21]
car:0.9463,[463 415  91  76]
car:0.9342,[956 402  82  38]
car:0.9114,[689 411 104  76]
car:0.9002,[408 369  58  44]
car:0.8862,[1114  368   97   44]
car:0.8323,[867 354  55  22]
car:0.7035,[512 299  47  17]
car:0.6713,[784 348  82  37]
